"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/18/2013","AQS","515100021","1","1.2","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/19/2013","AQS","515100021","1","1.1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/20/2013","AQS","515100021","1","0.7","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/21/2013","AQS","515100021","1","3.3","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","22","92.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/22/2013","AQS","515100021","1","2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/23/2013","AQS","515100021","1","0","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/24/2013","AQS","515100021","1","2.1","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/25/2013","AQS","515100021","1","2.1","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/26/2013","AQS","515100021","1","1.5","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/27/2013","AQS","515100021","1","0.1","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","22","92.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"02/28/2013","AQS","515100021","1","1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/01/2013","AQS","515100021","1","1.3","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/02/2013","AQS","515100021","1","5.7","ppb","7","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/03/2013","AQS","515100021","1","6.9","ppb","9","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/04/2013","AQS","515100021","1","1.1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/05/2013","AQS","515100021","1","3.8","ppb","4","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/06/2013","AQS","515100021","1","1.9","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","21","88.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/07/2013","AQS","515100021","1","2.8","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/08/2013","AQS","515100021","1","1.9","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/09/2013","AQS","515100021","1","2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/10/2013","AQS","515100021","1","2.4","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/11/2013","AQS","515100021","1","0.8","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/12/2013","AQS","515100021","1","1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/13/2013","AQS","515100021","1","1.4","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","21","88.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/14/2013","AQS","515100021","1","1.2","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/15/2013","AQS","515100021","1","2.2","ppb","3","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/16/2013","AQS","515100021","1","6.5","ppb","9","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/17/2013","AQS","515100021","1","1.1","ppb","1","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/18/2013","AQS","515100021","1","0.7","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
"03/19/2013","AQS","515100021","1","0.9","ppb","0","City of Alexandria Transportation and Env. Services Maintenance Bldg","24","100.0000","42401","Sulfur dioxide","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","510","Alexandria City","38.8065","-77.0864"
