"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"10/24/2011","AQS","510130020","1","28.3","ppb","26","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/25/2011","AQS","510130020","1","33.7","ppb","31","Aurora Hills Visitors Center","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/26/2011","AQS","510130020","1","28.6","ppb","26","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/27/2011","AQS","510130020","1","28.6","ppb","26","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/28/2011","AQS","510130020","1","17.4","ppb","16","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/29/2011","AQS","510130020","1","17.9","ppb","16","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/30/2011","AQS","510130020","1","27.8","ppb","25","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"10/31/2011","AQS","510130020","1","28.3","ppb","26","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"11/01/2011","AQS","510130020","1","35.7","ppb","33","Aurora Hills Visitors Center","23","96.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
"11/02/2011","AQS","510130020","1","45.3","ppb","42","Aurora Hills Visitors Center","24","100.0000","42602","Nitrogen dioxide (NO2)","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","51","Virginia","013","Arlington","38.857700000922","-77.05922"
