"Group.1","x"
"1/5/2017",54.15
"1/5/2018",67.275
"1/5/2019",93.675
"1/5/2020",81.225
"1/6/2011",61.925
"1/6/2012",75.775
"1/6/2013",79.425
"1/6/2014",93.45
"1/6/2015",57.75
"1/6/2016",38.125
"1/6/2017",72.25
"1/6/2018",59.85
"1/6/2019",80.575
"1/6/2020",75.325
"1/7/2011",68.425
"1/7/2012",69.9
"1/7/2013",73.975
"1/7/2014",43.8
"1/7/2015",73.05
"1/7/2016",61.1
"1/7/2017",67.075
"1/7/2018",62.15
"1/7/2019",70.175
"1/7/2020",64.675
"1/8/2011",62.6
"1/8/2012",74.625
"1/8/2013",84.325
"1/8/2014",45.125
"1/8/2015",68.8
"1/8/2016",93.325
"1/8/2017",78.45
"1/8/2018",72.825
"1/8/2019",90.525
"1/8/2020",85.025
"1/9/2011",50.325
"1/9/2012",78.75
"1/9/2013",89.05
"1/9/2014",57.95
"1/9/2015",48.6
"1/9/2016",96.55
"1/9/2017",73.575
"1/9/2018",86.7
"1/9/2019",82.35
"1/9/2020",65.75
"10/1/2011",73.725
"10/1/2012",76.175
"10/1/2013",70.2
"10/1/2014",82.825
"10/1/2015",86.925
"10/1/2016",96.7
"10/1/2017",63.45
"10/1/2018",85.25
"10/1/2019",67.675
"10/1/2020",65.4
"10/10/2011",73.275
"10/10/2012",81.225
"10/10/2013",93.9
"10/10/2014",70.875
"10/10/2015",68.35
"10/10/2016",59.65
"10/10/2017",80.45
"10/10/2018",88.625
"10/10/2019",69.125
"10/10/2020",71.275
"10/11/2011",85.4
"10/11/2012",57.5
"10/11/2013",95.85
"10/11/2014",90.4
"10/11/2015",72.4
"10/11/2016",62.1
"10/11/2017",78.95
"10/11/2018",89.7
"10/11/2019",52.5
"10/11/2020",92.25
"10/12/2011",91.6
"10/12/2012",56.35
"10/12/2013",95.625
"10/12/2014",78.6
"10/12/2015",65.825
"10/12/2016",80
"10/12/2017",88.575
"10/12/2018",76.275
"10/12/2019",69.725
"10/12/2020",95.4
"10/13/2011",97.275
"10/13/2012",52.95
"10/13/2013",94.95
"10/13/2014",83.1
"10/13/2015",76.05
"10/13/2016",82.675
"10/13/2017",82.4
"10/13/2018",77.75
"10/13/2019",64.825
"10/13/2020",90.025
"10/14/2011",93.35
"10/14/2012",56.425
"10/14/2013",88.2
"10/14/2014",86.15
"10/14/2015",73.725
"10/14/2016",64.2
"10/14/2017",87.625
"10/14/2018",77.35
"10/14/2019",76.025
"10/14/2020",62.475
"10/15/2011",63.2
"10/15/2012",76.35
"10/15/2013",80.975
"10/15/2014",81.6
"10/15/2015",65.125
"10/15/2016",54.9
"10/15/2017",83.3
"10/15/2018",87.975
"10/15/2019",65.625
"10/15/2020",69.725
"10/16/2011",57.475
"10/16/2012",71.175
"10/16/2013",84.45
"10/16/2014",86.975
"10/16/2015",55.075
"10/16/2016",82.9
"10/16/2017",71.8
"10/16/2018",67.975
"10/16/2019",82.7
"10/16/2020",79.025
"10/17/2011",57.45
"10/17/2012",75.425
"10/17/2013",86.125
"10/17/2014",72.025
"10/17/2015",61.5
"10/17/2016",74.95
"10/17/2017",56.95
"10/17/2018",68.725
"10/17/2019",66.75
"10/17/2020",54.2
"10/18/2011",73.8
"10/18/2012",77.2
"10/18/2013",68.4
"10/18/2014",68.75
"10/18/2015",60
"10/18/2016",67.9
"10/18/2017",49.85
"10/18/2018",59.25
"10/18/2019",59.6
