"Group.1","x"
"1/31/2013",-0.8675
"1/31/2014",2.635
"1/31/2015",-5.6575
"1/31/2016",3.905
"1/31/2017",2.45
"1/31/2018",-2.74
"1/31/2019",-2.515
"1/31/2020",0.78
"1/4/2011",2.615
"1/4/2012",-1.5525
"1/4/2013",-0.17
"1/4/2014",1.7475
"1/4/2015",2.6125
"1/4/2016",-5.14
"1/4/2017",0.42
"1/4/2018",-4.0175
"1/4/2019",1.875
"1/4/2020",1.575
"1/5/2011",-0.65
"1/5/2012",1.3175
"1/5/2013",-1.295
"1/5/2014",4.14
"1/5/2015",-3.0425
"1/5/2016",-6.9825
"1/5/2017",-1.0925
"1/5/2018",-3.195
"1/5/2019",-1.335
"1/5/2020",-3.5
"1/6/2011",-0.165
"1/6/2012",2.16
"1/6/2013",2.94
"1/6/2014",0.3325
"1/6/2015",-0.82
"1/6/2016",0.92
"1/6/2017",-2.285
"1/6/2018",-3.095
"1/6/2019",-0.8525
"1/6/2020",1.175
"1/7/2011",0.6025
"1/7/2012",2.16
"1/7/2013",-2.925
"1/7/2014",-2.8975
"1/7/2015",-2.6975
"1/7/2016",1.0775
"1/7/2017",-4.4375
"1/7/2018",-3.7025
"1/7/2019",-3.7925
"1/7/2020",-0.3075
"1/8/2011",0.125
"1/8/2012",-3.605
"1/8/2013",3.9675
"1/8/2014",-0.81
"1/8/2015",-3.215
"1/8/2016",-1.6425
"1/8/2017",-5.84
"1/8/2018",5.7075
"1/8/2019",4.0275
"1/8/2020",0.84
"1/9/2011",-3.8775
"1/9/2012",-1.5575
"1/9/2013",2.5925
"1/9/2014",0.765
"1/9/2015",5.6275
"1/9/2016",-0.1825
"1/9/2017",-2.08
"1/9/2018",1.1
"1/9/2019",-0.71
"1/9/2020",-3.6375
"10/1/2011",-3.4375
"10/1/2012",-0.3025
"10/1/2013",0.815
"10/1/2014",-0.41
"10/1/2015",-5.2475
"10/1/2016",-2.7525
"10/1/2017",-5.6775
"10/1/2018",4.52
"10/1/2019",3.545
"10/1/2020",1.7125
"10/10/2011",-1.7225
"10/10/2012",0.09
"10/10/2013",-6.8725
"10/10/2014",-1.0025
"10/10/2015",-3.06
"10/10/2016",-8.14
"10/10/2017",-0.33
"10/10/2018",3.3625
"10/10/2019",-3.6
"10/10/2020",4.915
"10/11/2011",-1.39
"10/11/2012",-2.395
"10/11/2013",-5.705
"10/11/2014",-2.7775
"10/11/2015",1.8975
"10/11/2016",-2.51
"10/11/2017",0.89
"10/11/2018",3.5925
"10/11/2019",-5.295
"10/11/2020",1.6675
"10/12/2011",-2.13
"10/12/2012",0.3975
"10/12/2013",-4.235
"10/12/2014",-2.2325
"10/12/2015",2.485
"10/12/2016",1.68
"10/12/2017",-1.6425
"10/12/2018",-4.3125
"10/12/2019",0.5825
"10/12/2020",-2.2275
